"Country","Day","Confirmed","Deaths","Recovered"
"North Macedonia",1,1,0,0
"North Macedonia",2,1,0,0
"North Macedonia",3,1,0,0
"North Macedonia",4,1,0,0
"North Macedonia",5,1,0,0
"North Macedonia",6,1,0,0
"North Macedonia",7,1,0,0
"North Macedonia",8,1,0,0
"North Macedonia",9,1,0,0
"North Macedonia",10,3,0,0
"North Macedonia",11,3,0,0
"North Macedonia",12,3,0,0
"North Macedonia",13,3,0,0
"North Macedonia",14,7,0,0
"North Macedonia",15,7,0,0
"North Macedonia",16,7,0,0
"North Macedonia",17,14,0,1
"North Macedonia",18,14,0,1
"North Macedonia",19,14,0,1
"North Macedonia",20,18,0,1
"North Macedonia",21,26,0,1
"North Macedonia",22,35,0,1
"North Macedonia",23,48,0,1
"North Macedonia",24,67,0,1
"North Macedonia",25,85,0,1
"North Macedonia",26,115,1,1
"North Macedonia",27,136,2,1
"North Macedonia",28,148,2,1
"North Macedonia",29,177,3,1
"North Macedonia",30,201,3,3
"North Macedonia",31,219,3,3
"North Macedonia",32,241,4,3
"North Macedonia",33,259,6,3
"North Macedonia",34,285,7,12
"North Macedonia",35,329,9,12
"North Macedonia",36,354,11,17
"North Macedonia",37,384,11,17
"North Macedonia",38,430,12,20
"North Macedonia",39,483,17,20
"North Macedonia",40,555,18,23
"North Macedonia",41,570,23,30
"North Macedonia",42,599,26,30
"North Macedonia",43,617,29,35
"North Macedonia",44,663,30,37
