"","effect","subj","gp","drug","dose"
"1",19.0001,"s1","gp1","dr1","do1"
"2",11,"s2","gp1","dr1","do1"
"3",20,"s3","gp1","dr1","do1"
"4",21,"s4","gp1","dr1","do1"
"5",18,"s5","gp1","dr1","do1"
"6",17,"s6","gp1","dr1","do1"
"7",20,"s7","gp1","dr1","do1"
"8",14,"s8","gp1","dr1","do1"
"9",16,"s9","gp2","dr1","do1"
"10",26,"s10","gp2","dr1","do1"
"11",22,"s11","gp2","dr1","do1"
"12",16,"s12","gp2","dr1","do1"
"13",19,"s13","gp2","dr1","do1"
"14",20,"s14","gp2","dr1","do1"
"15",21,"s15","gp2","dr1","do1"
"16",17,"s16","gp2","dr1","do1"
"17",22,"s1","gp1","dr1","do2"
"18",19,"s2","gp1","dr1","do2"
"19",24,"s3","gp1","dr1","do2"
"20",25,"s4","gp1","dr1","do2"
"21",24,"s5","gp1","dr1","do2"
"22",23,"s6","gp1","dr1","do2"
"23",23,"s7","gp1","dr1","do2"
"24",20,"s8","gp1","dr1","do2"
"25",20,"s9","gp2","dr1","do2"
"26",26,"s10","gp2","dr1","do2"
"27",27,"s11","gp2","dr1","do2"
"28",18,"s12","gp2","dr1","do2"
"29",21,"s13","gp2","dr1","do2"
"30",25,"s14","gp2","dr1","do2"
"31",22,"s15","gp2","dr1","do2"
"32",20,"s16","gp2","dr1","do2"
"33",28,"s1","gp1","dr1","do3"
"34",30,"s2","gp1","dr1","do3"
"35",24,"s3","gp1","dr1","do3"
"36",25,"s4","gp1","dr1","do3"
"37",29,"s5","gp1","dr1","do3"
"38",28,"s6","gp1","dr1","do3"
"39",23,"s7","gp1","dr1","do3"
"40",29,"s8","gp1","dr1","do3"
"41",24,"s9","gp2","dr1","do3"
"42",26,"s10","gp2","dr1","do3"
"43",23,"s11","gp2","dr1","do3"
"44",29,"s12","gp2","dr1","do3"
"45",20,"s13","gp2","dr1","do3"
"46",25,"s14","gp2","dr1","do3"
"47",23,"s15","gp2","dr1","do3"
"48",22,"s16","gp2","dr1","do3"
"49",16,"s1","gp1","dr2","do1"
"50",12,"s2","gp1","dr2","do1"
"51",24,"s3","gp1","dr2","do1"
"52",15,"s4","gp1","dr2","do1"
"53",19,"s5","gp1","dr2","do1"
"54",15,"s6","gp1","dr2","do1"
"55",26,"s7","gp1","dr2","do1"
"56",25,"s8","gp1","dr2","do1"
"57",30,"s9","gp2","dr2","do1"
"58",24,"s10","gp2","dr2","do1"
"59",33,"s11","gp2","dr2","do1"
"60",27,"s12","gp2","dr2","do1"
"61",22,"s13","gp2","dr2","do1"
"62",29,"s14","gp2","dr2","do1"
"63",27,"s15","gp2","dr2","do1"
"64",23,"s16","gp2","dr2","do1"
"65",26,"s1","gp1","dr2","do2"
"66",18,"s2","gp1","dr2","do2"
"67",22,"s3","gp1","dr2","do2"
"68",10,"s4","gp1","dr2","do2"
"69",26,"s5","gp1","dr2","do2"
"70",23,"s6","gp1","dr2","do2"
"71",21,"s7","gp1","dr2","do2"
"72",29,"s8","gp1","dr2","do2"
"73",34,"s9","gp2","dr2","do2"
"74",30,"s10","gp2","dr2","do2"
"75",36,"s11","gp2","dr2","do2"
"76",26,"s12","gp2","dr2","do2"
"77",22,"s13","gp2","dr2","do2"
"78",29,"s14","gp2","dr2","do2"
"79",26,"s15","gp2","dr2","do2"
"80",26,"s16","gp2","dr2","do2"
"81",22,"s1","gp1","dr2","do3"
"82",28,"s2","gp1","dr2","do3"
"83",29,"s3","gp1","dr2","do3"
"84",26,"s4","gp1","dr2","do3"
"85",28,"s5","gp1","dr2","do3"
"86",22,"s6","gp1","dr2","do3"
"87",28,"s7","gp1","dr2","do3"
"88",29,"s8","gp1","dr2","do3"
"89",36,"s9","gp2","dr2","do3"
"90",32,"s10","gp2","dr2","do3"
"91",45,"s11","gp2","dr2","do3"
"92",34,"s12","gp2","dr2","do3"
"93",21,"s13","gp2","dr2","do3"
"94",33,"s14","gp2","dr2","do3"
"95",35,"s15","gp2","dr2","do3"
"96",28,"s16","gp2","dr2","do3"
